"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","120","4430143","2.71","2.7235799468068"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","41","624781","6.56","6.30290344698601"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","290","5023824","5.77","5.94263486942395"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","102","2651860","3.85","3.91583460374936"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","1545","33499204","4.61","4.72900475957494"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","265","4226018","6.27","6.18462165571174"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","163","3386401","4.81","4.699404457348"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","42","774990","5.42","5.40302119128323"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","17","570220","2.98","2.92462182516052"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","893","15759421","5.67","5.50701859596883"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","245","8045966","3.05","3.04994692283349"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","113","1210300","9.34","9.18751391239919"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","56","1275675","4.39","4.58606248258979"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","539","12359023","4.36","4.36940283230499"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","260","6044972","4.3","4.30179815797258"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","145","2917637","4.97","5.01083271563732"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","133","2678340","4.97","5.07872785177785"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","136","4018053","3.38","3.35361083991177"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","129","4460814","2.89","2.94327955482137"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","84","1266808","6.63","6.50392887955158"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","194","5254511","3.69","3.64025294238998"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","313","6317345","4.95","4.83399415571238"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","432","9897117","4.36","4.37318433221885"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","209","4873481","4.29","4.2742281205775"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","60","2828412","2.12","2.20237009020627"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","274","5561950","4.93","4.96507737610827"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","66","897511","7.35","7.26386061618203"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","69","1704765","4.05","4.11079195004348"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","145","1934719","7.49","7.37362779868892"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","73","1222015","5.97","6.00103319537524"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","368","8359593","4.4","4.32115258625437"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","138","1808082","7.63","7.79138995760699"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","757","18882726","4.01","3.95946499783204"
