Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Suicide Firearm,1999,435,4430143,9.82,9.742026209
Both Sexes,All Races,Alaska,Both,All Ages,1999,2017,Suicide Firearm,1999,55,624781,8.8,10.51670218
Both Sexes,All Races,Arizona,Both,All Ages,1999,2017,Suicide Firearm,1999,476,5023824,9.47,9.595916326
Both Sexes,All Races,Arkansas,Both,All Ages,1999,2017,Suicide Firearm,1999,234,2651860,8.82,8.753554904
Both Sexes,All Races,California,Both,All Ages,1999,2017,Suicide Firearm,1999,1532,33499204,4.57,4.866071593
Both Sexes,All Races,Colorado,Both,All Ages,1999,2017,Suicide Firearm,1999,309,4226018,7.31,7.521737299
Both Sexes,All Races,Connecticut,Both,All Ages,1999,2017,Suicide Firearm,1999,111,3386401,3.28,3.246308418
Both Sexes,All Races,Delaware,Both,All Ages,1999,2017,Suicide Firearm,1999,44,774990,5.68,5.669151411
Both Sexes,All Races,District of Columbia,Both,All Ages,1999,2017,Suicide Firearm,1999,13,570220,2.28,2.199350912
Both Sexes,All Races,Florida,Both,All Ages,1999,2017,Suicide Firearm,1999,1136,15759421,7.21,6.739135128
Both Sexes,All Races,Georgia,Both,All Ages,1999,2017,Suicide Firearm,1999,628,8045966,7.81,8.09080591
Both Sexes,All Races,Hawaii,Both,All Ages,1999,2017,Suicide Firearm,1999,23,1210300,1.9,1.883977118
Both Sexes,All Races,Idaho,Both,All Ages,1999,2017,Suicide Firearm,1999,125,1275675,9.8,10.29113796
Both Sexes,All Races,Illinois,Both,All Ages,1999,2017,Suicide Firearm,1999,481,12359023,3.89,3.934916604
Both Sexes,All Races,Indiana,Both,All Ages,1999,2017,Suicide Firearm,1999,368,6044972,6.09,6.103835359
Both Sexes,All Races,Iowa,Both,All Ages,1999,2017,Suicide Firearm,1999,160,2917637,5.48,5.304465271
Both Sexes,All Races,Kansas,Both,All Ages,1999,2017,Suicide Firearm,1999,166,2678340,6.2,6.178290159
Both Sexes,All Races,Kentucky,Both,All Ages,1999,2017,Suicide Firearm,1999,334,4018053,8.31,8.282660197
Both Sexes,All Races,Louisiana,Both,All Ages,1999,2017,Suicide Firearm,1999,389,4460814,8.72,8.945632546
Both Sexes,All Races,Maine,Both,All Ages,1999,2017,Suicide Firearm,1999,91,1266808,7.18,6.869448301
Both Sexes,All Races,Maryland,Both,All Ages,1999,2017,Suicide Firearm,1999,241,5254511,4.59,4.655865423
Both Sexes,All Races,Massachusetts,Both,All Ages,1999,2017,Suicide Firearm,1999,118,6317345,1.87,1.829999522
Both Sexes,All Races,Michigan,Both,All Ages,1999,2017,Suicide Firearm,1999,542,9897117,5.48,5.506151321
Both Sexes,All Races,Minnesota,Both,All Ages,1999,2017,Suicide Firearm,1999,228,4873481,4.68,4.680775528
Both Sexes,All Races,Mississippi,Both,All Ages,1999,2017,Suicide Firearm,1999,244,2828412,8.63,8.83511726
Both Sexes,All Races,Missouri,Both,All Ages,1999,2017,Suicide Firearm,1999,426,5561950,7.66,7.587043579
