,state,weapons,machinegun,silencer,short_barreled_rifle,short_barreled_gun,Total,Year
0,Alabama,1085,14201,7195,791,2013,25285,2010
1,Alaska,307,1602,1779,419,1071,5178,2010
2,Arkansas,568,4188,5705,839,977,12277,2010
3,Arizona,1029,15633,13828,4388,1747,36625,2010
4,California,3562,26237,4798,2643,10103,47343,2010
5,Colorado,856,5766,4792,1675,1348,14437,2010
6,Connecticut,633,21943,4568,878,2518,30540,2010
7,District_of_Columbia,69,4103,160,182,978,5492,2010
8,Delaware,32,515,257,85,441,1330,2010
9,Florida,2906,27607,22517,6019,5313,64362,2010
10,Georgia,1687,20129,29004,2755,9241,62816,2010
11,Hawaii,34,428,102,50,59,673,2010
12,Iowa,870,3055,229,314,882,5350,2010
13,Idaho,561,3822,8993,900,379,14655,2010
14,Illinois,947,23625,1007,1100,1633,28312,2010
15,Indiana,1285,16623,11471,1886,8303,39568,2010
16,Kansas,670,2765,1284,845,822,6386,2010
17,Kentucky,983,8706,7481,1188,1615,19973,2010
18,Louisiana,511,6274,3302,1352,1443,12882,2010
19,Massachusetts,817,6341,4769,1035,844,13806,2010
20,Maryland,893,23393,5991,1408,3679,35364,2010
21,Maine,556,4597,1135,1370,376,8034,2010
22,Michigan,1038,8656,1322,628,1094,12738,2010
23,Minnesota,2625,7876,632,1044,995,13172,2010
24,Missouri,1286,7660,3382,1523,2088,15939,2010
25,Mississippi,387,3797,2416,435,686,7721,2010
26,Montana,385,1842,1631,404,338,4600,2010
27,North_Carolina,801,10026,6862,2251,2377,22317,2010
28,North_Dakota,171,1226,1434,214,149,3194,2010
29,Nebraska,703,2012,1792,546,734,5787,2010
30,New_Hampshire,410,5479,2293,1121,349,9652,2010
31,New_Jersey,422,6749,850,584,2267,10872,2010
32,New_Mexico,269,3652,2451,743,582,7697,2010
33,Nevada,674,6342,5575,2186,742,15519,2010
34,New_York,1853,6675,892,948,7243,17611,2010
35,Ohio,1710,16254,7450,2364,3589,31367,2010
36,Oklahoma,1065,6858,6615,1402,1398,17338,2010
37,Oregon,1446,6234,8391,1993,1225,19289,2010
38,Pennsylvania,1891,17355,10059,3302,11057,43664,2010
39,Rhode_Island,43,572,26,108,112,861,2010
40,South_Carolina,650,6165,6096,976,2233,16120,2010
41,South_Dakota,339,1425,1336,216,169,3485,2010
42,Tennessee,1436,11883,7765,2143,5398,28625,2010
43,Texas,6113,26978,36204,6958,6056,82309,2010
44,Utah,355,5936,4400,1576,1090,13357,2010
45,Virginia,2456,28760,13207,5807,5869,56099,2010
46,Vermont,217,1064,66,112,92,1551,2010
47,Washington,1631,3650,5136,975,728,12120,2010
48,Wisconsin,728,6067,3861,1207,1087,12950,2010
49,West_Virginia,420,2375,1784,519,514,5612,2010
50,Wyoming,285,1634,777,311,369,3376,2010
51,Other_US_Territories,6,175,15,11,47,254,2010
0,Alabama,1133,15653,8550,1327,2075,28738,2011
1,Alaska,311,1617,2085,508,1101,5622,2011
2,Arkansas,591,4827,7218,1091,1017,14744,2011
3,Arizona,1080,16879,15860,5492,1851,41162,2011
4,California,3698,28774,7303,3738,12166,55679,2011
5,Colorado,910,6040,6475,2217,1389,17031,2011
6,Connecticut,643,22023,5170,1068,960,29864,2011
7,District_of_Columbia,69,4278,160,440,1048,5995,2011
8,Delaware,32,569,302,94,507,1504,2011
9,Florida,3113,29128,28312,7432,6125,74110,2011
10,Georgia,1759,22081,29259,3563,9422,66084,2011
11,Hawaii,34,429,105,55,59,682,2011
12,Iowa,876,3262,301,343,936,5718,2011
13,Idaho,588,4342,9839,1103,398,16270,2011
14,Illinois,958,24651,1071,1214,1674,29568,2011
