State,Response,Group_Count,Name,Year
1,1,1294,Alabama,2001
1,2,1329,Alabama,2001
1,7,16,Alabama,2001
1,9,156,Alabama,2001
2,1,1627,Alaska,2001
2,2,1089,Alaska,2001
2,7,11,Alaska,2001
2,9,148,Alaska,2001
4,1,989,Arizona,2001
4,2,2077,Arizona,2001
4,7,26,Arizona,2001
4,9,172,Arizona,2001
5,1,1431,Arkansas,2001
5,2,1349,Arkansas,2001
5,7,11,Arkansas,2001
5,9,137,Arkansas,2001
6,1,846,California,2001
6,2,3051,California,2001
6,7,11,California,2001
6,9,349,California,2001
8,1,629,Colorado,2001
8,2,1318,Colorado,2001
8,7,13,Colorado,2001
8,9,72,Colorado,2001
9,1,1279,Connecticut,2001
9,2,6170,Connecticut,2001
9,7,28,Connecticut,2001
9,9,275,Connecticut,2001
10,1,934,Delaware,2001
10,2,2487,Delaware,2001
10,7,6,Delaware,2001
10,9,87,Delaware,2001
11,1,66,District_of_Columbia,2001
11,2,1793,District_of_Columbia,2001
11,7,5,District_of_Columbia,2001
11,9,24,District_of_Columbia,2001
12,1,1072,Florida,2001
12,2,3382,Florida,2001
12,7,46,Florida,2001
12,9,183,Florida,2001
13,1,1745,Georgia,2001
13,2,2532,Georgia,2001
13,7,47,Georgia,2001
13,9,208,Georgia,2001
15,1,477,Hawaii,2001
15,2,3973,Hawaii,2001
15,7,10,Hawaii,2001
15,9,40,Hawaii,2001
16,1,2394,Idaho,2001
16,2,2036,Idaho,2001
16,7,17,Idaho,2001
16,9,386,Idaho,2001
17,10,1843,Illinois,2001
17,1,396,Illinois,2001
17,2,1707,Illinois,2001
17,7,9,Illinois,2001
17,9,55,Illinois,2001
18,1,1390,Indiana,2001
18,2,2461,Indiana,2001
18,7,10,Indiana,2001
18,9,132,Indiana,2001
19,1,1370,Iowa,2001
19,2,2138,Iowa,2001
19,7,9,Iowa,2001
19,9,118,Iowa,2001
20,1,1715,Kansas,2001
20,2,2706,Kansas,2001
20,7,31,Kansas,2001
20,9,149,Kansas,2001
21,1,3664,Kentucky,2001
21,2,3581,Kentucky,2001
21,7,45,Kentucky,2001
21,9,242,Kentucky,2001
22,1,1977,Louisiana,2001
22,2,2823,Louisiana,2001
22,7,31,Louisiana,2001
22,9,172,Louisiana,2001
23,1,869,Maine,2001
23,2,1457,Maine,2001
23,7,8,Maine,2001
23,9,86,Maine,2001
24,1,1028,Maryland,2001
24,2,3243,Maryland,2001
24,7,18,Maryland,2001
24,9,183,Maryland,2001
25,1,934,Massachusetts,2001
25,2,7540,Massachusetts,2001
25,7,22,Massachusetts,2001
25,9,132,Massachusetts,2001
26,1,1339,Michigan,2001
26,2,2314,Michigan,2001
26,7,31,Michigan,2001
26,9,146,Michigan,2001
27,1,1468,Minnesota,2001
27,2,2369,Minnesota,2001
27,7,7,Minnesota,2001
27,9,121,Minnesota,2001
28,1,1481,Mississippi,2001
28,2,1360,Mississippi,2001
28,7,26,Mississippi,2001
28,9,176,Mississippi,2001
29,1,1753,Missouri,2001
29,2,2228,Missouri,2001
29,7,33,Missouri,2001
29,9,164,Missouri,2001
30,1,1723,Montana,2001
30,2,1343,Montana,2001
30,7,21,Montana,2001
30,9,251,Montana,2001
31,1,1342,Nebraska,2001
31,2,2242,Nebraska,2001
31,7,21,Nebraska,2001
31,9,94,Nebraska,2001
32,1,887,Nevada,2001
32,2,1492,Nevada,2001
32,7,19,Nevada,2001
32,9,175,Nevada,2001
33,1,1091,New_Hampshire,2001
33,2,2772,New_Hampshire,2001
33,7,20,New_Hampshire,2001
33,9,185,New_Hampshire,2001
34,1,597,New_Jersey,2001
34,2,5304,New_Jersey,2001
34,7,14,New_Jersey,2001
34,9,103,New_Jersey,2001
35,1,1212,New_Mexico,2001
35,2,2227,New_Mexico,2001
35,7,46,New_Mexico,2001
35,9,136,New_Mexico,2001
36,1,667,New_York,2001
36,2,3155,New_York,2001
36,7,5,New_York,2001
36,9,72,New_York,2001
37,1,2070,North_Carolina,2001
37,2,3836,North_Carolina,2001
37,7,74,North_Carolina,2001
37,9,225,North_Carolina,2001
38,1,1158,North_Dakota,2001
38,2,1264,North_Dakota,2001
38,7,9,North_Dakota,2001
38,9,79,North_Dakota,2001
39,1,897,Ohio,2001
39,2,2391,Ohio,2001
39,7,14,Ohio,2001
39,9,131,Ohio,2001
40,1,1896,Oklahoma,2001
40,2,2347,Oklahoma,2001
40,7,33,Oklahoma,2001
40,9,274,Oklahoma,2001
41,1,901,Oregon,2001
41,2,1532,Oregon,2001
41,7,12,Oregon,2001
41,9,91,Oregon,2001
42,1,1160,Pennsylvania,2001
42,2,2373,Pennsylvania,2001
42,7,10,Pennsylvania,2001
42,9,118,Pennsylvania,2001
44,1,493,Rhode_Island,2001
44,2,3531,Rhode_Island,2001
44,7,14,Rhode_Island,2001
44,9,82,Rhode_Island,2001
45,1,1273,South_Carolina,2001
45,2,1765,South_Carolina,2001
45,7,18,South_Carolina,2001
45,9,145,South_Carolina,2001
46,1,2595,South_Dakota,2001
46,2,2326,South_Dakota,2001
46,7,26,South_Dakota,2001
46,9,172,South_Dakota,2001
47,1,1123,Tennessee,2001
47,2,1651,Tennessee,2001
47,7,44,Tennessee,2001
47,9,106,Tennessee,2001
48,1,2030,Texas,2001
48,2,3637,Texas,2001
48,7,22,Texas,2001
48,9,227,Texas,2001
49,1,1634,Utah,2001
49,2,1805,Utah,2001
49,7,19,Utah,2001
49,9,198,Utah,2001
50,1,1639,Vermont,2001
50,2,2551,Vermont,2001
50,7,14,Vermont,2001
50,9,97,Vermont,2001
51,1,967,Virginia,2001
51,2,1864,Virginia,2001
51,7,31,Virginia,2001
51,9,77,Virginia,2001
53,1,1244,Washington,2001
53,2,2778,Washington,2001
53,7,17,Washington,2001
53,9,168,Washington,2001
54,1,1513,West_Virginia,2001
54,2,1432,West_Virginia,2001
54,7,17,West_Virginia,2001
54,9,131,West_Virginia,2001
55,1,1307,Wisconsin,2001
55,2,1983,Wisconsin,2001
55,7,12,Wisconsin,2001
55,9,49,Wisconsin,2001
56,1,1614,Wyoming,2001
56,2,1245,Wyoming,2001
56,7,6,Wyoming,2001
56,9,174,Wyoming,2001
66,1,115,Guam,2001
66,2,744,Guam,2001
66,7,3,Guam,2001
66,9,9,Guam,2001
72,1,275,Puerto_Rico,2001
72,2,3955,Puerto_Rico,2001
72,7,1,Puerto_Rico,2001
72,9,5,Puerto_Rico,2001
78,1,196,Virgin_Islands,2001
78,2,2037,Virgin_Islands,2001
78,7,5,Virgin_Islands,2001
78,9,25,Virgin_Islands,2001
