,State,Response,Group_Count,Name,Year
0,1,10,73,Alabama,2002
1,1,1,1606,Alabama,2002
2,1,2,1309,Alabama,2002
3,1,7,8,Alabama,2002
4,1,9,95,Alabama,2002
5,2,10,36,Alaska,2002
6,2,1,1556,Alaska,2002
7,2,2,982,Alaska,2002
8,2,7,11,Alaska,2002
9,2,9,109,Alaska,2002
10,4,1,1165,Arizona,2002
11,4,2,1905,Arizona,2002
12,4,7,11,Arizona,2002
13,4,9,146,Arizona,2002
14,5,10,106,Arkansas,2002
15,5,1,2038,Arkansas,2002
16,5,2,1559,Arkansas,2002
17,5,7,16,Arkansas,2002
18,5,9,178,Arkansas,2002
19,6,10,4215,California,2002
20,8,10,64,Colorado,2002
21,8,1,1304,Colorado,2002
22,8,2,2560,Colorado,2002
23,8,7,12,Colorado,2002
24,8,9,112,Colorado,2002
25,9,1,945,Connecticut,2002
26,9,2,4302,Connecticut,2002
27,9,7,21,Connecticut,2002
28,9,9,295,Connecticut,2002
29,10,10,9,Delaware,2002
30,10,1,1142,Delaware,2002
31,10,2,2779,Delaware,2002
32,10,7,9,Delaware,2002
33,10,9,92,Delaware,2002
34,11,1,96,District_of_Columbia,2002
35,11,2,2219,District_of_Columbia,2002
36,11,7,1,District_of_Columbia,2002
37,11,9,92,District_of_Columbia,2002
38,12,1,1573,Florida,2002
39,12,2,4273,Florida,2002
40,12,7,43,Florida,2002
41,12,9,261,Florida,2002
42,13,10,99,Georgia,2002
43,13,1,2071,Georgia,2002
44,13,2,2708,Georgia,2002
45,13,7,21,Georgia,2002
46,13,9,166,Georgia,2002
47,15,1,700,Hawaii,2002
48,15,2,5247,Hawaii,2002
49,15,7,9,Hawaii,2002
50,15,9,44,Hawaii,2002
51,16,10,100,Idaho,2002
52,16,1,2618,Idaho,2002
53,16,2,2034,Idaho,2002
54,16,7,23,Idaho,2002
55,16,9,262,Idaho,2002
56,17,1,1086,Illinois,2002
57,17,2,3966,Illinois,2002
58,17,7,19,Illinois,2002
59,17,9,171,Illinois,2002
60,18,10,164,Indiana,2002
61,18,1,2136,Indiana,2002
62,18,2,3309,Indiana,2002
63,18,7,25,Indiana,2002
64,18,9,155,Indiana,2002
65,19,10,37,Iowa,2002
66,19,1,1485,Iowa,2002
67,19,2,2060,Iowa,2002
68,19,7,11,Iowa,2002
69,19,9,69,Iowa,2002
70,20,10,63,Kansas,2002
71,20,1,1859,Kansas,2002
72,20,2,2531,Kansas,2002
73,20,7,20,Kansas,2002
74,20,9,129,Kansas,2002
75,21,10,2,Kentucky,2002
76,21,1,3258,Kentucky,2002
77,21,2,3181,Kentucky,2002
78,21,7,21,Kentucky,2002
79,21,9,605,Kentucky,2002
80,22,10,98,Louisiana,2002
81,22,1,2182,Louisiana,2002
82,22,2,2634,Louisiana,2002
83,22,7,28,Louisiana,2002
84,22,9,88,Louisiana,2002
85,23,1,902,Maine,2002
86,23,2,1443,Maine,2002
87,23,7,6,Maine,2002
88,23,9,87,Maine,2002
89,24,1,1071,Maryland,2002
90,24,2,3064,Maryland,2002
91,24,7,13,Maryland,2002
92,24,9,253,Maryland,2002
93,25,1,761,Massachusetts,2002
94,25,2,6307,Massachusetts,2002
95,25,7,20,Massachusetts,2002
96,25,9,341,Massachusetts,2002
97,26,10,59,Michigan,2002
98,26,1,2258,Michigan,2002
99,26,2,3466,Michigan,2002
100,26,7,26,Michigan,2002
101,26,9,124,Michigan,2002
102,27,1,1858,Minnesota,2002
103,27,2,2499,Minnesota,2002
104,27,7,38,Minnesota,2002
105,27,9,99,Minnesota,2002
106,28,10,100,Mississippi,2002
107,28,1,2064,Mississippi,2002
108,28,2,1754,Mississippi,2002
109,28,7,27,Mississippi,2002
110,28,9,140,Mississippi,2002
111,29,10,93,Missouri,2002
112,29,1,2146,Missouri,2002
113,29,2,2304,Missouri,2002
114,29,7,30,Missouri,2002
115,29,9,157,Missouri,2002
116,30,1,2293,Montana,2002
117,30,2,1441,Montana,2002
118,30,7,14,Montana,2002
119,30,9,288,Montana,2002
120,31,1,1714,Nebraska,2002
121,31,2,2490,Nebraska,2002
122,31,7,12,Nebraska,2002
123,31,9,167,Nebraska,2002
124,32,10,37,Nevada,2002
125,32,1,1198,Nevada,2002
126,32,2,1760,Nevada,2002
127,32,7,14,Nevada,2002
128,32,9,147,Nevada,2002
129,33,1,1364,New_Hampshire,2002
130,33,2,3409,New_Hampshire,2002
131,33,7,11,New_Hampshire,2002
132,33,9,255,New_Hampshire,2002
133,34,1,581,New_Jersey,2002
134,34,2,5280,New_Jersey,2002
135,34,7,18,New_Jersey,2002
136,34,9,300,New_Jersey,2002
137,35,10,123,New_Mexico,2002
138,35,1,1805,New_Mexico,2002
139,35,2,2595,New_Mexico,2002
140,35,7,26,New_Mexico,2002
141,35,9,122,New_Mexico,2002
142,36,10,146,New_York,2002
143,36,1,784,New_York,2002
144,36,2,3460,New_York,2002
145,36,7,13,New_York,2002
146,36,9,63,New_York,2002
